id,time,latitude,longitude,depth_km,magnitude,magnitude_type,place,event_type,status,tsunami,significance,net,nst,dmin,rms,gap,url
nc390824,1994-01-11 10:53:52.340000+00:00,36.9885,-121.7333333,13.339,4.1,mw,"4 km N of Interlaken, California",earthquake,reviewed,0,259,nc,84,0.06577,0.07,31.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc390824
ci3144585,1994-01-17 12:30:55.390000+00:00,34.213,-118.537,18.202,6.7,mw,"Northridge, California, earthquake",earthquake,reviewed,0,1541,ci,0,,0.31,29.7,https://earthquake.usgs.gov/earthquakes/eventpage/ci3144585
ci3149646,1994-01-17 12:31:58.120000+00:00,34.275,-118.493,5.317,5.89,ml,"1km ENE of Granada Hills, California",earthquake,reviewed,0,534,ci,0,0.2557,0.494,142.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci3149646
ci3144599,1994-01-17 12:34:18.420000+00:00,34.308,-118.475,5.487,4.44,ml,"4km NW of Pacoima, California",earthquake,reviewed,0,303,ci,0,0.2867,0.243,244.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci3144599
ci3144652,1994-01-17 12:39:39.800000+00:00,34.265,-118.54,5.88,4.89,ml,"3km N of Northridge, California",earthquake,reviewed,0,368,ci,0,,0.362,89.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3144652
ci3144673,1994-01-17 12:40:09.520000+00:00,34.32,-118.507,5.495,4.82,ml,"5km N of Granada Hills, California",earthquake,reviewed,0,357,ci,0,0.2177,0.292,135.4,https://earthquake.usgs.gov/earthquakes/eventpage/ci3144673
ci3144694,1994-01-17 12:40:36.120000+00:00,34.34,-118.614,5.395,5.2,ml,"9km N of Chatsworth, California",earthquake,reviewed,0,416,ci,0,0.2682,0.373,179.8,https://earthquake.usgs.gov/earthquakes/eventpage/ci3144694
ci3140674,1994-01-17 12:55:46.830000+00:00,34.277,-118.578,5.926,4.07,ml,"3km NE of Chatsworth, California",earthquake,reviewed,0,255,ci,0,0.1989,0.392,44.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140674
ci3140678,1994-01-17 13:06:28.340000+00:00,34.251,-118.55,5.926,4.62,ml,"2km NW of Northridge, California",earthquake,reviewed,0,328,ci,0,,0.382,59.3,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140678
ci3140684,1994-01-17 13:26:45.010000+00:00,34.318,-118.456,5.864,4.68,ml,"4km NNW of Pacoima, California",earthquake,reviewed,0,337,ci,0,,0.336,51.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140684
ci3140691,1994-01-17 13:56:02.480000+00:00,34.293,-118.621,5.926,4.44,ml,"4km NNW of Chatsworth, California",earthquake,reviewed,0,303,ci,0,,0.47,44.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140691
ci3140870,1994-01-17 14:14:30.630000+00:00,34.331,-118.445,5.864,4.45,ml,"5km N of Pacoima, California",earthquake,reviewed,0,305,ci,0,,0.267,103.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140870
nc391405,1994-01-17 14:46:12+00:00,38.8068333,-122.4466667,10.672,4.16,md,"9 km E of Hidden Valley Lake, California",earthquake,reviewed,0,266,nc,78,0.0009009,0.18,101.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc391405
ci3140728,1994-01-17 15:07:03.170000+00:00,34.304,-118.474,2.439,4.2,ml,"4km NW of Pacoima, California",earthquake,reviewed,0,271,ci,0,,0.335,38.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140728
ci2138698,1994-01-17 15:07:35.460000+00:00,34.307,-118.467,1.509,4.14,ml,"4km NW of Pacoima, California",earthquake,reviewed,0,264,ci,0,,0.315,41.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci2138698
ci3140766,1994-01-17 15:54:10.760000+00:00,34.376,-118.627,12.451,4.85,ml,"10km SSW of Valencia, California",earthquake,reviewed,0,362,ci,0,,0.351,35.6,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140766
ci3140853,1994-01-17 17:56:08.210000+00:00,34.228,-118.572,19.099,4.63,ml,"4km WSW of Northridge, California",earthquake,reviewed,0,330,ci,0,,0.327,42.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci3140853
ci3141205,1994-01-17 19:43:53.380000+00:00,34.368,-118.637,13.341,4.05,ml,"11km SSW of Valencia, California",earthquake,reviewed,0,252,ci,0,,0.279,69.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141205
ci3141219,1994-01-17 20:46:02.400000+00:00,34.302,-118.565,5.811,4.85,ml,"6km NE of Chatsworth, California",earthquake,reviewed,0,362,ci,0,,0.333,43.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141219
ci3141242,1994-01-17 22:31:53.730000+00:00,34.339,-118.442,5.733,4.12,ml,"6km N of Pacoima, California",earthquake,reviewed,0,261,ci,0,,0.329,50.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141242
ci3141273,1994-01-17 23:33:30.690000+00:00,34.326,-118.698,9.083,5.58,ml,"7km NNE of Simi Valley, California",earthquake,reviewed,0,479,ci,0,,0.317,23.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141273
ci3141108,1994-01-18 00:39:35.030000+00:00,34.379,-118.564,6.509,4.4,ml,"7km SW of Santa Clarita, California",earthquake,reviewed,0,298,ci,0,,0.282,49.1,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141108
ci2150850,1994-01-18 00:40:04.090000+00:00,34.394,-118.543,-0.844,4.21,ml,"4km SW of Santa Clarita, California",earthquake,reviewed,0,273,ci,0,,0.332,96.8,https://earthquake.usgs.gov/earthquakes/eventpage/ci2150850
ci3141286,1994-01-18 00:43:08.890000+00:00,34.377,-118.698,10.709,5.24,ml,"10km ESE of Piru, California",earthquake,reviewed,0,422,ci,0,,0.311,45.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141286
ci3141180,1994-01-18 04:01:26.720000+00:00,34.358,-118.623,0.146,4.26,ml,"11km N of Chatsworth, California",earthquake,reviewed,0,279,ci,0,,0.323,44.7,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141180
ci3141341,1994-01-18 07:23:56.020000+00:00,34.333,-118.623,14.635,4.04,ml,"9km NNW of Chatsworth, California",earthquake,reviewed,0,251,ci,0,,0.273,44.4,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141341
ci3141570,1994-01-18 11:35:09.900000+00:00,34.218,-118.607,11.912,4.19,ml,"2km N of Canoga Park, California",earthquake,reviewed,0,270,ci,0,,0.371,65.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141570
ci3141584,1994-01-18 13:24:44.130000+00:00,34.319,-118.558,1.542,4.32,ml,"7km NW of Granada Hills, California",earthquake,reviewed,0,287,ci,0,,0.256,94.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141584
ci3141597,1994-01-18 15:23:46.890000+00:00,34.379,-118.561,7.441,4.84,ml,"6km SW of Santa Clarita, California",earthquake,reviewed,0,360,ci,0,,0.276,60.6,https://earthquake.usgs.gov/earthquakes/eventpage/ci3141597
ci3142081,1994-01-19 04:40:48+00:00,34.361,-118.571,2.258,4.34,ml,"9km SW of Santa Clarita, California",earthquake,reviewed,0,290,ci,0,,0.338,42.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci3142081
ci3142082,1994-01-19 04:43:14.570000+00:00,34.366,-118.709,5.444,4.04,ml,"10km SE of Piru, California",earthquake,reviewed,0,251,ci,0,,0.363,46.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci3142082
ci3142087,1994-01-19 09:13:10.900000+00:00,34.304,-118.737,12.635,4.05,ml,"4km N of Simi Valley, California",earthquake,reviewed,0,252,ci,0,,0.277,47.7,https://earthquake.usgs.gov/earthquakes/eventpage/ci3142087
ci3142198,1994-01-19 14:09:14.830000+00:00,34.215,-118.51,17.287,4.52,ml,"3km NE of Reseda, California",earthquake,reviewed,0,314,ci,0,,0.295,34.3,https://earthquake.usgs.gov/earthquakes/eventpage/ci3142198
ci3142595,1994-01-19 21:09:28.610000+00:00,34.379,-118.712,13.797,5.06,ml,"8km ESE of Piru, California",earthquake,reviewed,0,394,ci,0,,0.539,41.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3142595
ci3142597,1994-01-19 21:11:44.900000+00:00,34.378,-118.619,10.83,5.07,ml,"10km SSW of Valencia, California",earthquake,reviewed,0,395,ci,0,,0.352,43.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3142597
ci3142868,1994-01-20 15:41:33.200000+00:00,40.496,-124.828,21.712,4.2,ml,"48km W of Ferndale, California",earthquake,reviewed,0,271,ci,0,,0.0,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci3142868
nc392028,1994-01-20 15:42:33.130000+00:00,40.5131667,-124.774,15.684,4.4,mw,"43 km W of Ferndale, California",earthquake,reviewed,0,298,nc,97,0.3351,0.1,244.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc392028
ci3145627,1994-01-21 18:39:15.260000+00:00,34.301,-118.466,10.323,4.53,ml,"3km NW of Pacoima, California",earthquake,reviewed,0,316,ci,0,,0.342,37.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci3145627
ci3159009,1994-01-21 18:39:47.080000+00:00,34.297,-118.479,11.53,4.0,ml,"4km NE of Granada Hills, California",earthquake,reviewed,0,246,ci,0,,0.284,76.4,https://earthquake.usgs.gov/earthquakes/eventpage/ci3159009
ci3143541,1994-01-21 18:42:28.770000+00:00,34.31,-118.474,7.529,4.25,ml,"4km NW of Pacoima, California",earthquake,reviewed,0,278,ci,0,,0.343,47.1,https://earthquake.usgs.gov/earthquakes/eventpage/ci3143541
ci3143546,1994-01-21 18:52:44.240000+00:00,34.302,-118.452,7.303,4.31,ml,"2km NNW of Pacoima, California",earthquake,reviewed,0,286,ci,0,,0.354,36.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci3143546
ci3143547,1994-01-21 18:53:44.570000+00:00,34.298,-118.458,7.363,4.32,ml,"2km NW of Pacoima, California",earthquake,reviewed,0,287,ci,0,,0.287,36.4,https://earthquake.usgs.gov/earthquakes/eventpage/ci3143547
ci3187383,1994-01-22 22:54:10.660000+00:00,34.393,-118.568,6.969,4.64,mc,"6km WSW of Santa Clarita, California",earthquake,reviewed,0,331,ci,0,,0.113,79.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3187383
ci3144303,1994-01-23 08:55:08.660000+00:00,34.3,-118.428,5.693,4.07,ml,"2km NNE of Pacoima, California",earthquake,reviewed,0,255,ci,0,,0.338,25.7,https://earthquake.usgs.gov/earthquakes/eventpage/ci3144303
ci3145150,1994-01-24 04:15:18.820000+00:00,34.347,-118.552,6.024,4.59,ml,"9km SSW of Santa Clarita, California",earthquake,reviewed,0,324,ci,0,,0.314,25.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3145150
ci3145168,1994-01-24 05:50:24.340000+00:00,34.361,-118.628,11.573,4.3,ml,"12km SSW of Valencia, California",earthquake,reviewed,0,284,ci,0,,0.314,38.6,https://earthquake.usgs.gov/earthquakes/eventpage/ci3145168
ci3145171,1994-01-24 05:54:21.070000+00:00,34.364,-118.627,10.333,4.2,ml,"11km SSW of Valencia, California",earthquake,reviewed,0,271,ci,0,,0.292,38.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci3145171
ci3146628,1994-01-27 17:19:58.830000+00:00,34.273,-118.563,14.535,4.57,ml,"4km ENE of Chatsworth, California",earthquake,reviewed,0,321,ci,0,,0.333,30.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci3146628
ci3146983,1994-01-28 20:09:53.430000+00:00,34.375,-118.494,0.19,4.21,ml,"5km SSE of Santa Clarita, California",earthquake,reviewed,0,273,ci,0,,0.322,26.5,https://earthquake.usgs.gov/earthquakes/eventpage/ci3146983
ci3147406,1994-01-29 11:20:35.970000+00:00,34.306,-118.579,0.607,5.06,ml,"6km NNE of Chatsworth, California",earthquake,reviewed,0,394,ci,0,,0.339,22.4,https://earthquake.usgs.gov/earthquakes/eventpage/ci3147406
ci3147259,1994-01-29 12:16:56.350000+00:00,34.278,-118.611,2.326,4.33,ml,"2km NNW of Chatsworth, California",earthquake,reviewed,0,288,ci,0,,0.292,32.6,https://earthquake.usgs.gov/earthquakes/eventpage/ci3147259
